original_query,step1_query,step2_query,full_query,r1_abl_query,r2_abl_query,r3_abl_query
When will they make more episodes of Fuller House,When will they make more episodes of Fuller House,When will they make more episodes of Fuller House,When will they make more episodes of Fuller House for kids,When will they make more episodes of Fuller House,When will they make more episodes of Fuller House,When will they make more episodes of Fuller House for kids
youtube,YouTube,YouTube,YouTube for kids,YouTube,youtube,youtube for kids
Who plays Kylo Ren from StarWars?,Who plays Kylo Ren from Star Wars?,Who plays Kylo Ren from Star Wars?,Who plays Kylo Ren from Star Wars for kids?,Who plays Kylo Ren from Star Wars?,Who plays Kylo Ren from StarWars?,Who plays Kylo Ren from StarWars? for kids
What are coll fact about a horse?,What are cool facts about a horse?,What are fun facts about a horse?,What are fun facts about a horse for kids,What are cool facts about a horse?,What are interesting facts about a horse?,What are cool facts about a horse for kids
"What songs has a name with the lyrics of ""You use to call my on my self phone""","What songs have the lyrics ""You used to call me on my cellphone""?","What songs have the words ""You used to call me on my cellphone""?","What songs have the words ""You used to call me on my cellphone"" for kids?","What songs have the lyrics ""You used to call me on my cellphone""?",What songs have lyrics like 'You use to call my on my cell phone'?,"What songs has a name with the lyrics of ""You use to call my on my self phone"" for kids"
Star Wars Ep. 7,Star Wars Episode 7,Star Wars Episode 7,Star Wars Episode 7 for kids,Star Wars Episode 7,Star Wars Episode 7,Star Wars Ep. 7 for kids
How do Feathre's grow,How do feathers grow?,How do feathers grow?,How do feathers grow for kids,How do feathers grow?,How do feathers grow?,How do Feathre's grow for kids
How do lights work,How do lights work,How do lights work,How do lights work for kids,How do lights work,How do lights work,How do lights work for kids
Images of dragons,Images of dragons,Pictures of dragons,Pictures of dragons for kids,Images of dragons,Pictures of dragons,Images of dragons for kids
"Fast and Furiouse, how did paul Walker die",How did Paul Walker from Fast and Furious die?,How did Paul Walker from Fast and Furious die?,How did Paul Walker from Fast and Furious die for kids,How did Paul Walker from Fast and Furious die?,"Fast and Furiouse, how did paul Walker die","Fast and Furiouse, how did paul Walker die for kids"
Sloth,Sloth,Sloth,Sloth for kids,Sloth,Sloth,Sloth for kids
Fast and Furiouse,Fast and Furious,Fast and Furious,Fast and Furious for kids,Fast and Furious,Fast and Furiouse,Fast and Furiouse for kids
How old Star Wars is,How old is Star Wars?,How old is Star Wars?,How old is Star Wars for kids,How old is Star Wars?,How old Star Wars is,How old Star Wars is for kids
Star wars,Star Wars,Star Wars,Star Wars for kids,Star Wars,Star wars,Star wars for kids
How old is Johny enlgish?,How old is Johnny English?,How old is Johnny English?,How old is Johnny English for kids,How old is Johnny English?,How old is Johny enlgish?,How old is Johny enlgish for kids
facts on Sabertooth tigers,Sabertooth tiger facts,Sabertooth tiger facts,Sabertooth tiger facts for kids,Sabertooth tiger facts,facts on Sabertooth tigers,facts on Sabertooth tigers for kids
Johny english reborn movie,Johnny English Reborn movie,Johnny English Reborn movie,Johnny English Reborn movie for kids,Johnny English Reborn movie,Johny english reborn movie,Johny english reborn movie for kids
new movies 2016,New movies 2016,New movies 2016,New movies 2016 for kids,New movies 2016,new movies 2016,new movies 2016 for kids
games,games,games,games for kids,games,games,games for kids
how fast is flash,How fast is Flash?,How fast is Flash?,How fast is Flash for kids,How fast is Flash?,how fast is flash,how fast is flash for kids
why are grizzly Bares Brown,Why are grizzly bears brown?,Why are grizzly bears brown?,Why are grizzly bears brown for kids?,Why are grizzly bears brown?,why are grizzly bears brown,why are grizzly Bares Brown for kids
songs for 5th graders,Songs for 5th graders,Songs for 5th graders,Songs for 5th graders for kids,Songs for 5th graders,songs for 5th graders,songs for 5th graders for kids
Netflix,Netflix,Netflix,Netflix for kids,Netflix,Netflix,Netflix for kids
What do foxes eat,What do foxes eat,What do foxes eat,What do foxes eat for kids,What do foxes eat,What do foxes eat,What do foxes eat for kids
picts of dragons,Pictures of dragons,Pictures of dragons,Pictures of dragons for kids,Pictures of dragons,pics of dragons,picts of dragons for kids
The Incredibles,The Incredibles,The Incredibles,The Incredibles for kids,The Incredibles,The Incredibles,The Incredibles for kids
who voiced Mr.Incredible,Who voiced Mr. Incredible?,Who voiced Mr. Incredible?,Who voiced Mr. Incredible for kids?,Who voiced Mr. Incredible?,who played Mr.Incredible,who voiced Mr.Incredible for kids
how long are giraffes necks,How long are giraffe necks?,How long are giraffe necks?,How long are giraffe necks for kids,How long are giraffe necks?,how long are giraffes necks,how long are giraffes necks for kids
the Incredibles,The Incredibles,The Incredibles,The Incredibles for kids,The Incredibles,the Incredibles,the Incredibles for kids
facts about Ufos,facts about UFOs,facts about UFOs,facts about UFOs for kids,facts about UFOs,facts about Ufos,facts about Ufos for kids
five night at freddys,Five Nights at Freddy's,Five Nights at Freddy's,Five Nights at Freddy's for kids,Five Nights at Freddy's,five night at freddys,five night at freddys for kids
who played Gorden,Who played Gordon?,Who played Gordon?,Who played Gordon for kids?,Who played Gordon?,who played Gorden,who played Gorden for kids
facts about lizards,facts about lizards,facts about lizards,facts about lizards for kids,facts about lizards,facts about lizards,facts about lizards for kids
Who plays Kylo Ren in the new Star wars,Who plays Kylo Ren in the new Star Wars?,Who plays Kylo Ren in the new Star Wars?,Who plays Kylo Ren in the new Star Wars for kids?,Who plays Kylo Ren in the new Star Wars?,Who plays Kylo Ren in the new Star Wars,Who plays Kylo Ren in the new Star wars for kids
Facts about geckos,Facts about geckos,Facts about geckos,Facts about geckos for kids,Facts about geckos,Facts about geckos,Facts about geckos for kids
Star Wars the Force Awakens,Star Wars The Force Awakens,Star Wars The Force Awakens,Star Wars The Force Awakens for kids,Star Wars The Force Awakens,Star Wars the Force Awakens,Star Wars the Force Awakens for kids
When is the new Guardians of the Galaxy going to come out,When is the new Guardians of the Galaxy released?,When is the new Guardians of the Galaxy out?,When is the new Guardians of the Galaxy out for kids?,When is the new Guardians of the Galaxy released?,When will the new Guardians of the Galaxy come out,When is the new Guardians of the Galaxy going to come out for kids
Computer games,Computer games,Computer games,Computer games for kids,Computer games,Computer games,Computer games for kids
Sumdog Math games,Sumdog math games,Sumdog math games,Sumdog math games for kids,Sumdog math games,Sumdog Math games,Sumdog Math games for kids
Who plays the villain in Ant-man,Who plays the villain in Ant-Man?,Who plays the bad guy in Ant-Man?,Who plays the bad guy in Ant-Man for kids?,Who plays the villain in Ant-Man?,Who plays the bad guy in Ant-man,Who plays the villain in Ant-man for kids
How long is a lions Lifespan?,How long is a lion's lifespan?,How long does a lion live?,How long does a lion live for kids?,How long is a lion's lifespan?,How long do lions live?,How long is a lions Lifespan for kids
Ant-man movie,Ant-Man movie,Ant-Man movie,Ant-Man movie for kids,Ant-Man movie,Ant-man movie,Ant-man movie for kids
When is Batman v. Superman coming out?,When is Batman v. Superman coming out?,When is Batman v. Superman coming out?,When is Batman v. Superman coming out for kids,When is Batman v. Superman coming out?,When is Batman v. Superman coming out?,When is Batman v. Superman coming out for kids
Youtube,YouTube,YouTube,YouTube for kids,YouTube,Youtube,Youtube for kids
math games,math games,math games,math games for kids,math games,math games,math games for kids
How long can a polr bear swin under water?,How long can a polar bear swim under water?,How long can a polar bear swim under water?,How long can a polar bear swim under water for kids,How long can a polar bear swim under water?,How long can a polar bear swim under water?,How long can a polr bear swin under water for kids?
When will the movie Zootopia come out,When will the movie Zootopia come out,When will the movie Zootopia come out,When will the movie Zootopia come out for kids,When will the movie Zootopia come out,When will the movie Zootopia come out,When will the movie Zootopia come out for kids
Pointless website,Pointless website,Useless website,Useless website for kids,Pointless website,Useless website,Pointless website for kids
world war II pictures,World War II pictures,World War II pictures,World War II pictures for kids,World War II pictures,world war II pictures,world war II pictures for kids
Who plays the rabbit from the movie H.O.P.?,Who plays the rabbit from the movie Hop?,Who plays the rabbit from the movie Hop?,Who plays the rabbit from the movie Hop for kids,Who plays the rabbit from the movie Hop?,Who plays the rabbit from the movie H.O.P.?,Who plays the rabbit from the movie H.O.P. for kids
name of my Favourite movie,What is the name of my favourite movie?,What is the name of my favorite movie?,What is the name of my favorite movie for kids?,What is the name of my favourite movie?,name of my favorite movie,name of my Favourite movie for kids
When is the new movie Race about Jessie Owens coming out on DVD,When is the new movie Race about Jesse Owens coming out on DVD?,When is the new movie Race about Jesse Owens coming out on DVD?,When is the new movie Race about Jesse Owens coming out on DVD for kids?,When is the new movie Race about Jesse Owens coming out on DVD?,When is the new movie Race about Jessie Owens coming out on DVD,When is the new movie Race about Jessie Owens coming out on DVD for kids
staggering bautey (a game),Staggering Beauty (a game),Staggering Beauty (a game),Staggering Beauty (a game) for kids,Staggering Beauty (a game),amazing bautey (a game),staggering bautey (a game) for kids
Who plays in the new goose bumps?,Who plays in the new Goosebumps?,Who plays in the new Goosebumps?,Who plays in the new Goosebumps for kids?,Who plays in the new Goosebumps?,Who acts in the new Goosebumps?,Who plays in the new goose bumps for kids?
How fast can a Cheeta run?,How fast can a Cheetah run?,How fast can a Cheetah run?,How fast can a Cheetah run for kids,How fast can a Cheetah run?,How fast can a Cheeta run?,How fast can a Cheeta run for kids
What is the new son by son and son?,What is the new song by Son and Son?,What is the new song by Son and Son?,What is the new song by Son and Son for kids?,What is the new song by Son and Son?,What is the new son by son and son?,What is the new son by son and son for kids?
Fuller House Full episodes,Fuller House full episodes,Fuller House all shows,Fuller House all shows for kids,Fuller House full episodes,Fuller House Full episodes,Fuller House Full episodes for kids
When is Fuller House coming out?,When is Fuller House coming out?,When is Fuller House coming out?,When is Fuller House coming out for kids?,When is Fuller House coming out?,When is Fuller House coming out?,When is Fuller House coming out for kids?
How to multiply a fraction by a fraction?,How to multiply a fraction by a fraction?,How to multiply a fraction by a fraction?,How to multiply a fraction by a fraction for kids,How to multiply a fraction by a fraction?,How to multiply a fraction by a fraction?,How to multiply a fraction by a fraction for kids
Krois? How dose dame not die in the last part,How does Krois not die in the last part?,How does Krois not die in the last part?,How does Krois not die in the last part for kids?,How does Krois not die in the last part?,Krois? How does dame not die in the last part?,Krois? How dose dame not die in the last part for kids
"Snake, How dose the snake five the venom",How does a snake give venom?,How does a snake give poison?,How does a snake give poison for kids?,How does a snake give venom?,How do snakes give venom?,"Snake, How does the snake give the venom for kids"
The lirycs of the song,The lyrics of the song,The words of the song,The words of the song for kids,The lyrics of the song,The words of the song,The lirycs of the song for kids
the tittle of the movie,the title of the movie,the title of the movie,the title of the movie for kids,the title of the movie,the title of the movie,the tittle of the movie for kids
about April something,Something about April,Something about April,Something about April for kids,Something about April,about April something,about April something for kids
school games,School games,School games,School games for kids,School games,school games,school games for kids
cool cars,Cool cars,Cool cars,Cool cars for kids,Cool cars,cool cars,cool cars for kids
who plays as the man of steel,Who plays as the Man of Steel?,Who plays as the Man of Steel?,Who plays as the Man of Steel for kids?,Who plays as the Man of Steel?,who plays as the man of steel,who plays as the man of steel for kids
when will the new movie is coming out,When is the new movie coming out?,When is the new movie coming out?,When is the new movie coming out for kids?,When is the new movie coming out?,when will the new movie is coming out,when will the new movie is coming out for kids
my favourite movie,My favorite movie,My favorite movie,My favorite movie for kids,My favorite movie,my favorite movie,my favourite movie for kids
who sang a song called watch me whip nae,Who sang a song called Watch Me Whip Nae Nae,Who sang a song called Watch Me Whip Nae Nae,Who sang a song called Watch Me Whip Nae Nae for kids,Who sang a song called Watch Me Whip Nae Nae,who sang a song called watch me whip nae,who sang a song called watch me whip nae for kids
Batman vs superman,Batman vs Superman,Batman vs Superman,Batman vs Superman for kids,Batman vs Superman,Batman vs superman,Batman vs superman for kids
the minions movie,The Minions movie,The Minions movie,The Minions movie for kids,The Minions movie,the minions movie,the minions movie for kids
information of words,Word information,Word facts,Word facts for kids,Word information,About words,information of words for kids
sports and news,Sports and news,Sports and news,Sports and news for kids,Sports and news,sports and news,sports and news for kids
Who is the voice for Dory in Finding Nemo?,Who is the voice for Dory in Finding Nemo?,Who is the voice for Dory in Finding Nemo?,Who is the voice for Dory in Finding Nemo for kids?,Who is the voice for Dory in Finding Nemo?,Who is the voice for Dory in Finding Nemo?,Who is the voice for Dory in Finding Nemo for kids?
How long can a shark live for,How long can a shark live?,How long can a shark live?,How long can a shark live for kids,How long can a shark live?,How long can a shark live for,How long can a shark live for for kids
Mama ohohoh song,Mama ohohoh song,Mama ohohoh song,Mama ohohoh song for kids,Mama ohohoh song,Mama ohohoh song,Mama ohohoh song for kids
Starwars,Star Wars,Star Wars,Star Wars for kids,Star Wars,Starwars,Starwars for kids
When is the next StarWars movie coming out,When is the next Star Wars movie coming out,When is the next Star Wars movie coming out,When is the next Star Wars movie coming out for kids,When is the next Star Wars movie coming out,When is the next StarWars movie coming out,When is the next StarWars movie coming out for kids
MIG games,MiG games,MiG games,MiG games for kids,MiG games,MIG games,MIG games for kids
google docs,Google Docs,Google Docs,Google Docs for kids,Google Docs,google docs,google docs for kids
How old are the kids now in Stand By Me?,How old are the kids now in Stand By Me?,How old are the kids now in Stand By Me?,How old are the kids now in Stand By Me? for kids,How old are the kids now in Stand By Me?,How old are the kids now in Stand By Me?,How old are the kids now in Stand By Me? for kids
What sound does a girrafe make?,What sound does a giraffe make?,What sound does a giraffe make?,What sound does a giraffe make? for kids,What sound does a giraffe make?,What sound does a girrafe make?,What sound does a girrafe make for kids?
Hello it's me,Hello it's me,Hello it's me,Hello it's me for kids,Hello it's me,Hello it's me,Hello it's me for kids
movie Zootopia,Movie Zootopia,Movie Zootopia,Movie Zootopia for kids,Movie Zootopia,movie Zootopia,movie Zootopia for kids
How old is google?,How old is Google?,How old is Google?,How old is Google for kids?,How old is Google?,How old is google?,How old is google for kids
facts information,Facts and information,Facts and information,Facts and information for kids,Facts and information,facts details,facts information for kids
youtube,YouTube,YouTube,YouTube for kids,YouTube,youtube,youtube for kids
How old is Ray from StarWars?,How old is Rey from Star Wars?,How old is Rey from Star Wars?,How old is Rey from Star Wars for kids,How old is Rey from Star Wars?,How old is Ray from StarWars?,How old is Ray from StarWars for kids
How many breeds of Dogs are there?,How many breeds of dogs are there?,How many kinds of dogs are there?,How many kinds of dogs are there for kids?,How many breeds of dogs are there?,How many breeds of Dogs are there?,How many breeds of Dogs are there for kids
Songs by Adele,Songs by Adele,Songs by Adele,Songs by Adele for kids,Songs by Adele,Songs by Adele,Songs by Adele for kids
Spirited away,Spirited Away,Spirited Away,Spirited Away for kids,Spirited Away,Spirited away,Spirited away for kids
When is Zootopia coming out?,When is Zootopia coming out?,When is Zootopia coming out?,When is Zootopia coming out for kids,When is Zootopia coming out?,When is Zootopia coming out?,When is Zootopia coming out for kids
ideas for poems,ideas for poems,ideas for poems,ideas for poems for kids,ideas for poems,ideas for poems,ideas for poems for kids
games to play when you board,Games to play when you're bored,Games to play when you're bored,Games to play when you're bored for kids,Games to play when you're bored,games to play when bored,games to play when you board for kids
Billbow - Bagan in the Hobbit,Bilbo Baggins in The Hobbit,Bilbo Baggins in The Hobbit,Bilbo Baggins in The Hobbit for kids,Bilbo Baggins in The Hobbit,Billbow - Bagan in the Hobbit,Billbow - Bagan in the Hobbit for kids
A whole with a horn,A whole thing with a horn,Something with a horn,Something with a horn for kids,A whole thing with a horn,A thing with a horn,A whole with a horn for kids
What songs does Jeff play?,What songs does Jeff play?,What songs does Jeff play?,What songs does Jeff play for kids?,What songs does Jeff play?,What songs does Jeff play?,What songs does Jeff play for kids?
"What is the movie ""The Secret life of pets""","What is the movie ""The Secret Life of Pets""?","What is the movie ""The Secret Life of Pets""?","What is the movie ""The Secret Life of Pets""? for kids","What is the movie ""The Secret Life of Pets""?","What is the movie ""The Secret life of pets""","What is the movie ""The Secret life of pets"" for kids"
Who plays Nemo in finding Nemo?,Who plays Nemo in Finding Nemo?,Who plays Nemo in Finding Nemo?,Who plays Nemo in Finding Nemo for kids?,Who plays Nemo in Finding Nemo?,Who plays Nemo in finding Nemo?,Who plays Nemo in finding Nemo for kids?
How plays the Rafe on teenager mutan,How does Rafe act in Teenage Mutant Ninja Turtles?,How does Rafe act in Teenage Mutant Ninja Turtles?,How does Rafe act in Teenage Mutant Ninja Turtles for kids?,How does Rafe act in Teenage Mutant Ninja Turtles?,How does Rafe act as a mutant teen?,How plays the Rafe on teenager mutan for kids
Star wars,Star Wars,Star Wars,Star Wars for kids,Star Wars,Star wars,Star wars for kids
calculator,calculator,calculator,calculator for kids,calculator,calculator,calculator for kids
Who voices Mabel in Gravity Falls?,Who voices Mabel in Gravity Falls?,Who voices Mabel in Gravity Falls?,Who voices Mabel in Gravity Falls for kids?,Who voices Mabel in Gravity Falls?,Who voices Mabel in Gravity Falls?,Who voices Mabel in Gravity Falls for kids?
The Alpaca,The Alpaca,The Alpaca,The Alpaca for kids,The Alpaca,The Alpaca,The Alpaca for kids
Math games,Math games,Math games,Math games for kids,Math games,Math games,Math games for kids
Dan and Phil,Dan and Phil,Dan and Phil,Dan and Phil for kids,Dan and Phil,Dan and Phil,Dan and Phil for kids
Who plays Kylo Ren in the new Star wars movie?,Who plays Kylo Ren in the new Star Wars movie?,Who plays Kylo Ren in the new Star Wars movie?,Who plays Kylo Ren in the new Star Wars movie for kids?,Who plays Kylo Ren in the new Star Wars movie?,Who plays Kylo Ren in the new Star Wars movie?,Who plays Kylo Ren in the new Star wars movie for kids?
How long can a wolf live?,How long can a wolf live?,How long can a wolf live?,How long can a wolf live for kids,How long can a wolf live?,How long can a wolf live?,How long can a wolf live for kids
What is the ame of the song with the lyrics ? Now watch me whip watch me nay nay!,What is the name of the song with the lyrics Now watch me whip watch me nay nay?,What is the name of the song with the words Now watch me whip watch me nay nay?,What song has the words Now watch me whip watch me nay nay? for kids,What is the name of the song with the lyrics Now watch me whip watch me nay nay?,What is the name of the song with the lyrics? Now watch me whip watch me nay nay!,What is the ame of the song with the lyrics ? Now watch me whip watch me nay nay! for kids
start wars,Star Wars,Star Wars,Star Wars for kids,Star Wars,start wars,start wars for kids
When does summer break start?,When does summer break start?,When does summer break start?,When does summer break start for kids,When does summer break start?,When does summer break start?,When does summer break start for kids
What was the best video game at 2015?,What was the best video game in 2015?,What was the best video game in 2015?,What was the best video game in 2015 for kids?,What was the best video game in 2015?,What was the best video game in 2015?,What was the best video game at 2015 for kids?
What is the capitol of New York?,What is the capital of New York?,What is the capital of New York?,What is the capital of New York? for kids,What is the capital of New York?,What is the capital of New York?,What is the capitol of New York? for kids
Who plays the bad guy in Star Wars the Horde awakends?,Who plays the bad guy in Star Wars: The Force Awakens?,Who plays the bad guy in Star Wars: The Force Awakens?,Who plays the bad guy in Star Wars: The Force Awakens? for kids,Who plays the bad guy in Star Wars: The Force Awakens?,Who plays the bad guy in Star Wars the Horde awakends?,Who plays the bad guy in Star Wars the Horde awakends for kids?
What is a fox's favorite kind of food?,What is a fox's favorite kind of food?,What is a fox's favorite kind of food?,What is a fox's favorite kind of food for kids?,What is a fox's favorite kind of food?,What is a fox's favorite kind of food?,What is a fox's favorite kind of food for kids?
"Show me the movie called ""The Martian""","Show me the movie called ""The Martian""","Show me the movie called ""The Martian""","Show me the movie called ""The Martian"" for kids","Show me the movie called ""The Martian""","Show me the movie called ""The Martian""","Show me the movie called ""The Martian"" for kids"
What is the biggest rock found on Mars?,What is the biggest rock found on Mars?,What is the biggest rock found on Mars?,What is the biggest rock found on Mars for kids?,What is the biggest rock found on Mars?,What is the biggest rock found on Mars?,What is the biggest rock found on Mars for kids?
What is the top game this week?,What is the top game this week?,What is the top game this week?,What is the top game this week for kids?,What is the top game this week?,What is the top game this week?,What is the top game this week for kids?
